Assembly,Order,Family,Genus,Species,Release_Date
GCF_002606865.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Astro,2019-05-24T14:44:49.790Z
GCF_002604145.1,Caudovirales,Siphoviridae,Sanovirus,Xylella virus Salvo,2019-05-24T14:44:45.293Z
GCF_002602685.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Rebeuca,2019-05-24T14:44:40.860Z
GCF_002602485.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Goose,2019-05-24T14:44:36.397Z
GCF_002602465.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Arturo,2019-05-24T14:44:31.777Z
GCF_002602185.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus ASCC273,2019-05-24T14:44:27.323Z
GCF_002601785.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus LHTSCC,2019-05-24T14:44:22.887Z
GCF_002601405.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Cuco,2019-05-24T14:44:17.803Z
GCF_002601205.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Benedict,2019-05-24T14:44:11.347Z
GCF_002601185.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Ericb,2019-05-24T14:44:06.683Z
GCF_002600985.1,Caudovirales,Siphoviridae,Omegavirus,Mycobacterium virus Littlee,2019-05-24T14:44:02.060Z
GCF_002600855.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Hammer,2019-05-24T14:43:58.063Z
GCF_002603045.1,Caudovirales,Podoviridae,Hollowayvirus,Pseudomonas virus H66,2019-05-24T14:43:53.100Z
GCF_002602245.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus ASCC532,2019-05-24T14:43:47.297Z
GCF_002601945.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Dotproduct,2019-05-24T14:43:41.087Z
GCF_002601725.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Jeffabunny,2019-05-24T14:43:36.013Z
GCF_002601245.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium virus Jaws,2019-05-24T14:43:30.683Z
GCF_002601145.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Mrgordo,2019-05-24T14:43:25.293Z
GCF_002601045.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium virus Pixie,2019-05-24T14:43:20.720Z
GCF_002600935.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Kssjeb,2019-05-24T14:43:14.850Z
GCF_002600815.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Dlane,2019-05-24T14:43:08.800Z
GCF_002600715.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Heldan,2019-05-24T14:43:03.747Z
GCF_002600695.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus BBPiebs31,2019-05-24T14:42:59.147Z
GCF_002604165.1,Caudovirales,Siphoviridae,Sanovirus,Xylella virus Sano,2019-05-24T14:42:54.523Z
GCF_002602405.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium virus Macncheese,2019-05-24T14:42:49.667Z
GCF_002602225.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus ASCC465,2019-05-24T14:42:44.033Z
GCF_002602205.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus ASCC281,2019-05-24T14:42:38.203Z
GCF_002601025.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Museum,2019-05-24T14:42:31.973Z
GCF_002601005.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Mozy,2019-05-24T14:42:27.733Z
GCF_002600905.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus JC27,2019-05-24T14:42:23.333Z
GCF_002600875.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Ibhubesi,2019-05-24T14:42:18.030Z
GCF_002600775.1,Caudovirales,Siphoviridae,Omegavirus,Mycobacterium virus Baka,2019-05-24T14:42:12.607Z
GCF_002601965.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Saintus,2019-05-24T14:42:08.297Z
GCF_002600965.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Lesedi,2019-05-24T14:42:02.243Z
GCF_003004815.1,Caudovirales,Siphoviridae,Ikedavirus,Corynebacterium virus phi673,2019-05-24T14:41:48.290Z
GCF_002632885.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Rockyhorror,2019-05-24T14:41:42.900Z
GCF_900156925.1,Caudovirales,Podoviridae,Lederbergvirus,Salmonella virus BTP1,2019-05-24T14:41:29.310Z
GCF_003004825.1,Caudovirales,Siphoviridae,Ikedavirus,Corynebacterium virus phi674,2019-05-24T14:41:21.397Z
GCF_002632795.1,Caudovirales,Siphoviridae,Bronvirus,Mycobacterium virus Joedirt,2019-05-24T14:41:16.290Z
GCF_002632705.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus George,2019-05-24T14:41:10.410Z
GCF_002632605.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Backyardigan,2019-05-24T14:41:04.617Z
GCF_002632835.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Packman,2019-05-24T14:40:59.057Z
GCF_002632735.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Gladiator,2019-05-24T14:40:53.990Z
GCF_002990125.1,Caudovirales,Siphoviridae,Holosalinivirus,Salinibacter virus M8CR30-2,2019-05-24T14:40:48.887Z
GCF_002990115.1,Caudovirales,Siphoviridae,Kryptosalinivirus,Salinibacter virus M8CC19,2019-05-24T14:40:44.207Z
GCF_000847005.1,Herpesvirales,Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1,2019-05-14T10:22:59.510Z
GCF_002617825.1,Caudovirales,Herelleviridae,Caeruleovirus,Bacillus virus BM15,2019-05-09T10:31:28.700Z
GCF_002608785.1,Caudovirales,Siphoviridae,Samunavirus,Pseudomonas virus SM1,2019-05-02T19:51:56.447Z
GCF_900095325.1,Caudovirales,Myoviridae,Slopekvirus,Klebsiella virus PMBT1,2019-05-02T17:15:37.307Z
GCF_900010585.1,Caudovirales,Siphoviridae,Lokivirus,Acinetobacter virus Loki,2019-05-02T17:15:33.020Z
GCF_003183085.1,Caudovirales,Siphoviridae,Sourvirus,Gordonia virus Sour,2019-05-02T17:15:08.330Z
GCF_003181195.1,Caudovirales,Autographiviridae,Phimunavirus,Pectobacterium virus CB5,2019-05-02T17:15:03.933Z
GCF_003147265.1,Caudovirales,Myoviridae,Tequatrovirus,Escherichia virus slur04,2019-05-02T17:14:58.847Z
GCF_003147245.1,Caudovirales,Myoviridae,Tequatrovirus,Escherichia virus slur03,2019-05-02T17:14:53.843Z
GCF_003146805.1,Caudovirales,Myoviridae,Punavirus,Escherichia virus RCS47,2019-05-02T17:14:49.283Z
GCF_003143335.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus AL2,2019-05-02T17:14:45.047Z
GCF_003143315.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus AL3,2019-05-02T17:14:40.293Z
GCF_003094235.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus LY0322,2019-05-02T17:14:35.600Z
GCF_003023935.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter phage vB_AbaP_D2,2019-05-02T17:14:30.430Z
GCF_003013975.1,Caudovirales,Siphoviridae,Soupsvirus,Gordonia virus Waits,2019-05-02T17:14:24.623Z
GCF_003013875.1,Caudovirales,Drexlerviridae,Eclunavirus,Enterobacter virus EcL1,2019-05-02T17:14:19.173Z
GCF_002997855.1,Vinavirales,Corticoviridae,Corticovirus,Pseudoalteromonas virus Cr39582,2019-05-02T17:14:14.343Z
GCF_002997835.1,Caudovirales,Siphoviridae,Vidquintavirus,Pantoea virus Vid5,2019-05-02T17:14:09.053Z
GCF_002997715.1,Caudovirales,Siphoviridae,Pikminvirus,Microbacterium virus Pikmin,2019-05-02T17:14:04.857Z
GCF_002997575.1,Caudovirales,Siphoviridae,Kojivirus,Microbacterium virus Koji,2019-05-02T17:14:00.877Z
GCF_002997555.1,Caudovirales,Siphoviridae,Kojivirus,Microbacterium virus Golden,2019-05-02T17:13:56.673Z
GCF_002990485.1,Caudovirales,Myoviridae,Eneladusvirus,Yersinia virus Yen9-04,2019-05-02T17:13:51.180Z
GCF_002988115.1,Caudovirales,Siphoviridae,Abidjanvirus,Pseudomonas virus Ab19,2019-05-02T17:13:46.383Z
GCF_002988105.1,Caudovirales,Podoviridae,Cepunavirus,Streptococcus virus Cp7,2019-05-02T17:13:42.257Z
GCF_002987395.1,Caudovirales,Myoviridae,Pakpunavirus,Pseudomonas virus CAb02,2019-05-02T17:13:37.977Z
GCF_002986005.1,Caudovirales,Myoviridae,Fletchervirus,Campylobacter virus CP81,2019-05-02T17:13:33.267Z
GCF_002959085.1,Caudovirales,Siphoviridae,Ilzatvirus,Microbacterium virus Ilzat,2019-05-02T17:13:28.593Z
GCF_002959075.1,Caudovirales,Siphoviridae,Ilzatvirus,Microbacterium virus Hamlet,2019-05-02T17:13:24.217Z
GCF_002959055.1,Caudovirales,Siphoviridae,Elerivirus,Microbacterium virus Eleri,2019-05-02T17:13:19.593Z
GCF_002958945.1,Caudovirales,Siphoviridae,Vividuovirus,Gordonia virus Brandonk123,2019-05-02T17:13:15.600Z
GCF_002958925.1,Caudovirales,Podoviridae,Vicosavirus,Pseudomonas virus NV1,2019-05-02T17:13:08.750Z
GCF_002958855.1,Caudovirales,Siphoviridae,Bingvirus,Streptomyces virus Bing,2019-05-02T17:13:04.090Z
GCF_002958845.1,Caudovirales,Siphoviridae,Wilnyevirus,Streptomyces virus BillNye,2019-05-02T17:12:59.373Z
GCF_002958485.1,Caudovirales,Autographiviridae,Pollyceevirus,Pseudomonas virus PollyC,2019-05-02T17:12:54.937Z
GCF_002958465.1,Caudovirales,Podoviridae,Bjornvirus,Pseudomonas virus Bjorn,2019-05-02T17:12:50.660Z
GCF_002958415.1,Caudovirales,Siphoviridae,Emalynvirus,Gordonia virus Troje,2019-05-02T17:12:46.043Z
GCF_002958215.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus PMBT2,2019-05-02T17:12:41.510Z
GCF_002958015.1,Caudovirales,Myoviridae,Aphroditevirus,Vibrio virus Aphrodite1,2019-05-02T17:12:36.937Z
GCF_002957915.1,Caudovirales,Siphoviridae,Dismasvirus,Microbacterium virus Dismas,2019-05-02T17:12:32.460Z
GCF_002957745.1,Caudovirales,Myoviridae,Agricanvirus,Erwinia virus Desertfox,2019-05-02T17:12:26.963Z
GCF_002957725.1,Caudovirales,Myoviridae,Felixounavirus,Salmonella virus BPS17W1,2019-05-02T17:12:22.710Z
GCF_002957705.1,Caudovirales,Myoviridae,Felixounavirus,Salmonella virus BPS17L1,2019-05-02T17:12:17.983Z
GCF_002957655.1,Caudovirales,Demerecviridae,Cetovirus,Vibrio virus Thalassa,2019-05-02T17:12:13.587Z
GCF_002957645.1,Caudovirales,Demerecviridae,Cetovirus,Vibrio virus Ceto,2019-05-02T17:12:08.840Z
GCF_002957275.1,Caudovirales,Demerecviridae,Sugarlandvirus,Klebsiella virus Sugarland,2019-05-02T17:12:03.973Z
GCF_002957175.1,Caudovirales,Myoviridae,Tabernariusvirus,Pseudomonas virus tabernarius,2019-05-02T17:11:59.013Z
GCF_002957165.1,Caudovirales,Siphoviridae,Nickievirus,Pseudomonas virus nickie,2019-05-02T17:11:53.853Z
GCF_002957135.1,Caudovirales,Demerecviridae,Novosibvirus,Proteus virus PM135,2019-05-02T17:11:49.400Z
GCF_002956515.1,Caudovirales,Siphoviridae,Gustavvirus,Gordonia virus Mahdia,2019-05-02T17:11:45.250Z
GCF_002956505.1,Caudovirales,Siphoviridae,Gustavvirus,Gordonia virus Gustav,2019-05-02T17:11:40.773Z
GCF_002956495.1,Caudovirales,Siphoviridae,Ceetrepovirus,Corynebacterium virus Zion,2019-05-02T17:11:36.227Z
GCF_002956475.1,Caudovirales,Siphoviridae,Ceetrepovirus,Corynebacterium virus Darwin,2019-05-02T17:11:31.780Z
GCF_002956465.1,Caudovirales,Siphoviridae,Ceetrepovirus,Corynebacterium virus C3PO,2019-05-02T17:11:27.310Z
GCF_002956225.1,Caudovirales,Siphoviridae,Kagunavirus,Escherichia virus Golestan,2019-05-02T17:11:22.217Z
GCF_002956215.1,Kalamavirales,Tectiviridae,Gammatectivirus,Gluconobacter virus GC1,2019-05-02T17:11:17.253Z
GCF_002956145.1,Caudovirales,Siphoviridae,Delepquintavirus,Stenotrophomonas virus DLP5,2019-05-02T17:11:12.823Z
GCF_002956015.1,Caudovirales,Myoviridae,Phikzvirus,Pseudomonas virus SL2,2019-05-02T17:11:07.273Z
GCF_002955985.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus E215,2019-05-02T17:11:02.753Z
GCF_002955975.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus E217,2019-05-02T17:10:57.967Z
GCF_002955395.1,Caudovirales,Myoviridae,Tequatrovirus,Shigella virus Sf24,2019-05-02T17:10:53.657Z
GCF_002955385.1,Caudovirales,Myoviridae,Tequatrovirus,Shigella virus Sf21,2019-05-02T17:10:48.507Z
GCF_002955355.1,Caudovirales,Myoviridae,Mooglevirus,Shigella virus Sf17,2019-05-02T17:10:42.923Z
GCF_002955345.1,Caudovirales,Myoviridae,Mooglevirus,Shigella virus Sf14,2019-05-02T17:10:38.453Z
GCF_002955075.1,Caudovirales,Demerecviridae,Jesfedecavirus,Vibrio virus JSF10,2019-05-02T17:10:33.720Z
GCF_002922425.1,Caudovirales,Myoviridae,Moonvirus,Citrobacter virus CF1,2019-05-02T17:10:19.783Z
GCF_002758935.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Wonder,2019-05-02T17:09:39.970Z
GCF_002758635.1,Caudovirales,Siphoviridae,Lambdavirus,Escherichia virus DE3,2019-05-02T17:09:35.343Z
GCF_002758395.1,Caudovirales,Siphoviridae,Pegunavirus,Mycobacterium virus Pg1,2019-05-02T17:09:31.107Z
GCF_002758035.1,Caudovirales,Myoviridae,Machinavirus,Erwinia virus Machina,2019-05-02T17:09:26.343Z
GCF_002757595.1,Caudovirales,Siphoviridae,Charlievirus,Mycobacterium virus Pipsqueaks,2019-05-02T17:09:21.160Z
GCF_002757255.1,Caudovirales,Myoviridae,Flaumdravirus,Pseudomonas virus KIL2,2019-05-02T17:09:16Z
GCF_002757175.1,Caudovirales,Myoviridae,Radnorvirus,Arthrobacter virus Trina,2019-05-02T17:09:11.010Z
GCF_002756755.1,Caudovirales,Siphoviridae,Likavirus,Streptomyces virus Hydra,2019-05-02T17:09:06.717Z
GCF_002756735.1,Caudovirales,Siphoviridae,Likavirus,Streptomyces virus Aaronocolus,2019-05-02T17:09:01.787Z
GCF_002756695.1,Caudovirales,Siphoviridae,Rosebushvirus,Mycobacterium virus Godines,2019-05-02T17:08:57.283Z
GCF_002756615.1,Caudovirales,Siphoviridae,Cronusvirus,Rhodobacter virus RcCronus,2019-05-02T17:08:53.077Z
GCF_002745835.1,Caudovirales,Ackermannviridae,Taipeivirus,Serratia virus IME250,2019-05-02T17:08:44.080Z
GCF_002745315.1,Caudovirales,Drexlerviridae,Rogunavirus,Escherichia virus C119,2019-05-02T17:08:39.550Z
GCF_002744185.1,Caudovirales,Siphoviridae,Vividuovirus,Gordonia virus Lennon,2019-05-02T17:08:35.027Z
GCF_002744075.1,Caudovirales,Myoviridae,Gelderlandvirus,Salmonella virus Melville,2019-05-02T17:08:30.170Z
GCF_002744055.1,Caudovirales,Drexlerviridae,Sertoctavirus,Escherichia virus SRT8,2019-05-02T17:08:24.507Z
GCF_002744035.1,Caudovirales,Siphoviridae,Scapunavirus,Streptomyces virus Scap1,2019-05-02T17:08:20.010Z
GCF_002743875.1,Caudovirales,Myoviridae,Jedunavirus,Klebsiella virus KpV52,2019-05-02T17:08:16.367Z
GCF_002743655.1,Caudovirales,Siphoviridae,Trinavirus,Rhodococcus virus Trina,2019-05-02T17:08:09.777Z
GCF_002743575.1,Caudovirales,Myoviridae,Tequatrovirus,Shigella virus Sf22,2019-05-02T17:08:04.960Z
GCF_002743515.1,Caudovirales,Drexlerviridae,Rogunavirus,Escherichia virus KP26,2019-05-02T17:08:00.637Z
GCF_002710125.1,Caudovirales,Siphoviridae,Roufvirus,Aeromonas virus pIS4A,2019-05-02T17:07:56.383Z
GCF_002633545.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Rockstar,2019-05-02T17:07:51.970Z
GCF_002633525.1,Caudovirales,Siphoviridae,Coopervirus,Mycobacterium virus Zemanar,2019-05-02T17:07:48.033Z
GCF_002633495.1,Caudovirales,Siphoviridae,Coopervirus,Mycobacterium virus Chrisnmich,2019-05-02T17:07:43.587Z
GCF_002633475.1,Caudovirales,Siphoviridae,Papyrusvirus,Mycobacterium virus Send513,2019-05-02T17:07:39.550Z
GCF_002633455.1,Caudovirales,Siphoviridae,Marvinvirus,Mycobacterium virus Marvin,2019-05-02T17:07:33.903Z
GCF_002632985.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium virus Anaya,2019-05-02T17:07:29.560Z
GCF_002632965.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Yoshi,2019-05-02T17:07:25.013Z
GCF_002630905.1,Caudovirales,Siphoviridae,Eiauvirus,Edwardsiella virus eiAU,2019-05-02T17:07:20.507Z
GCF_002630805.1,Caudovirales,Myoviridae,Obolenskvirus,Acinetobacter virus AB1,2019-05-02T17:07:16.500Z
GCF_002630605.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus CB20,2019-05-02T17:07:11.587Z
GCF_002630585.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus CB19,2019-05-02T17:07:05.310Z
GCF_002630545.1,Caudovirales,Siphoviridae,Kostyavirus,Mycobacterium virus Pumpkin,2019-05-02T17:07:00.437Z
GCF_002629965.1,Caudovirales,Herelleviridae,Pecentumvirus,Listeria virus P100,2019-05-02T17:06:54.847Z
GCF_002629925.1,Caudovirales,Siphoviridae,Nonagvirus,Salmonella virus SE1Kor,2019-05-02T17:06:50.667Z
GCF_002629865.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus P2,2019-05-02T17:06:46.203Z
GCF_002629745.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus phiSHEF5,2019-05-02T17:06:41.483Z
GCF_002629725.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus phiSHEF4,2019-05-02T17:06:36.107Z
GCF_002629705.1,Caudovirales,Siphoviridae,Efquatrovirus,Enterococcus virus phiSHEF2,2019-05-02T17:06:31.813Z
GCF_002629205.1,Caudovirales,Podoviridae,Jasminevirus,Arthrobacter virus Adat,2019-05-02T17:06:26.957Z
GCF_002629085.1,Caudovirales,Myoviridae,Tulanevirus,Aeromonas virus Asgz,2019-05-02T17:06:21.467Z
GCF_002629045.1,Caudovirales,Myoviridae,Risingsunvirus,Erwinia virus Risingsun,2019-05-02T17:06:16.867Z
GCF_002628925.1,Caudovirales,Myoviridae,Mooglevirus,Shigella virus Sf13,2019-05-02T17:06:12.547Z
GCF_002628485.1,Caudovirales,Siphoviridae,Rimavirus,Strepomyces virus Drgrey,2019-05-02T17:06:07.217Z
GCF_002628465.1,Caudovirales,Myoviridae,Marthavirus,Arthrobacter virus Shade,2019-05-02T17:06:02.787Z
GCF_002628445.1,Caudovirales,Myoviridae,Marthavirus,Arthrobacter virus Piccoletto,2019-05-02T17:05:57.387Z
GCF_002628245.1,Caudovirales,Myoviridae,Polybotosvirus,Agrobacterium virus Atuph07,2019-05-02T17:05:52.120Z
GCF_002627505.1,Caudovirales,Siphoviridae,Samistivirus,Streptomyces virus Samisti12,2019-05-02T17:05:47.287Z
GCF_002627485.1,Caudovirales,Siphoviridae,Samistivirus,Streptomyces virus Peebs,2019-05-02T17:05:42.770Z
GCF_002627465.1,Caudovirales,Siphoviridae,Samistivirus,Streptomyces virus Paradiddles,2019-05-02T17:05:38.443Z
GCF_002627445.1,Caudovirales,Siphoviridae,Samistivirus,Streptomyces virus NootNoot,2019-05-02T17:05:34.500Z
GCF_002627405.1,Caudovirales,Siphoviridae,Samistivirus,Streptomyces virus Mildred21,2019-05-02T17:05:30.383Z
GCF_002627165.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter phage vB_ApiP_P2,2019-05-02T17:05:25.843Z
GCF_002627145.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter phage vB_ApiP_P1,2019-05-02T17:05:21.190Z
GCF_002627125.1,Caudovirales,Autographiviridae,Friunavirus,Acintetobacter virus B5,2019-05-02T17:05:16.380Z
GCF_002627105.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter virus B3,2019-05-02T17:05:11.137Z
GCF_002627085.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter phage vB_AbaP_B1,2019-05-02T17:05:06.017Z
GCF_002626285.1,Caudovirales,Siphoviridae,Galaxyvirus,Arthrobacter virus Abidatro,2019-05-02T17:05:01.687Z
GCF_002626045.1,Caudovirales,Siphoviridae,Amigovirus,Arthrobacteria virus Molivia,2019-05-02T17:04:56.310Z
GCF_002625945.1,Caudovirales,Myoviridae,Radnorvirus,Arthrobacter virus Colucci,2019-05-02T17:04:51.290Z
GCF_002625565.1,Caudovirales,Myoviridae,Marthavirus,Arthrobacter virus Beans,2019-05-02T17:04:46.333Z
GCF_002625365.1,Caudovirales,Myoviridae,Obolenskvirus,Acinetobacter virus AbP2,2019-05-02T17:04:42.137Z
GCF_002625205.1,Caudovirales,Myoviridae,Busanvirus,Acidovorax virus ACP17,2019-05-02T17:04:37.430Z
GCF_002625165.1,Caudovirales,Myoviridae,Winklervirus,Serratia virus CHI14,2019-05-02T17:04:31.877Z
GCF_002625025.1,Caudovirales,Drexlerviridae,Tunavirus,Shigella virus ISF002,2019-05-02T17:04:27.857Z
GCF_002625005.1,Caudovirales,Myoviridae,Noxifervirus,Pseudomonas virus Noxifer,2019-05-02T17:04:22.430Z
GCF_002624925.1,Caudovirales,Myoviridae,Bixzunavirus,Mycobacterium virus Sebata,2019-05-02T17:04:18.167Z
GCF_002624885.1,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus wksl3,2019-05-02T17:04:12.557Z
GCF_002624865.1,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus AG11,2019-05-02T17:04:08.493Z
GCF_002624805.1,Caudovirales,Myoviridae,Mosigvirus,Escherichia virus ST0,2019-05-02T17:04:02.957Z
GCF_002624785.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Shauna1,2019-05-02T17:03:58.620Z
GCF_002624765.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Shilan,2019-05-02T17:03:53.600Z
GCF_002624745.1,Caudovirales,Siphoviridae,Kostyavirus,Mycobacterium virus Sirduracell,2019-05-02T17:03:47.673Z
GCF_002624725.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Spartacus,2019-05-02T17:03:43.337Z
GCF_002624705.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Switzer,2019-05-02T17:03:37.357Z
GCF_002624665.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Tiger,2019-05-02T17:03:32.553Z
GCF_002624645.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Timshel,2019-05-02T17:03:27.940Z
GCF_002624625.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Twister,2019-05-02T17:03:22.993Z
GCF_002624545.1,Caudovirales,Autographiviridae,Pradovirus,Xanthomonas virus f30,2019-05-02T17:03:18.120Z
GCF_002624525.1,Caudovirales,Autographiviridae,Pradovirus,Xanthomonas virus f20,2019-05-02T17:03:12.897Z
GCF_002624505.1,Caudovirales,Myoviridae,Slopekvirus,Klebsiella virus Miro,2019-05-02T17:03:07.117Z
GCF_002624485.1,Caudovirales,Myoviridae,Slopekvirus,Enterobacter virus Eap3,2019-05-02T17:03:02.530Z
GCF_002624465.1,Caudovirales,Myoviridae,Felixounavirus,Escherichia virus TP1,2019-05-02T17:02:58.307Z
GCF_002624445.1,Caudovirales,Myoviridae,Kolesnikvirus,Erwinia virus M7,2019-05-02T17:02:53.760Z
GCF_002624425.1,Caudovirales,Myoviridae,Mooglevirus,Citrobacter virus Mordin,2019-05-02T17:02:49.223Z
GCF_002624405.1,Caudovirales,Myoviridae,Jimmervirus,Brevibacillus virus Jimmer,2019-05-02T17:02:44.687Z
GCF_002624385.1,Caudovirales,Myoviridae,Agricanvirus,Erwinia virus SpecialG,2019-05-02T17:02:40.113Z
GCF_002624365.1,Caudovirales,Myoviridae,Agricanvirus,Erwinia virus Simmy50,2019-05-02T17:02:34.947Z
GCF_002624345.1,Caudovirales,Myoviridae,Agricanvirus,Erwinia virus RAY,2019-05-02T17:02:30.597Z
GCF_002624325.1,Caudovirales,Myoviridae,Agricanvirus,Erwinia virus Deimos,2019-05-02T17:02:26.083Z
GCF_002624045.1,Caudovirales,Siphoviridae,Reyvirus,Mycobacterium virus Rey,2019-05-02T17:02:21.040Z
GCF_002624025.1,Caudovirales,Siphoviridae,Bongovirus,Mycobacterium virus Bongo,2019-05-02T17:02:16.673Z
GCF_002624005.1,Caudovirales,Siphoviridae,Fishburnevirus,Mycobacterium virus Jebeks,2019-05-02T17:02:11.653Z
GCF_002623605.1,Caudovirales,Myoviridae,Nankokuvirus,Pseudomonas virus G1,2019-05-02T17:02:06.247Z
GCF_002623585.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter virus WCHABP5,2019-05-02T17:02:00.953Z
GCF_002623465.1,Caudovirales,Myoviridae,Obolenskvirus,Acinetobacter virus WCHABP1,2019-05-02T17:01:56.280Z
GCF_002623425.1,Caudovirales,Siphoviridae,Pipefishvirus,Mycobacterium virus Athena,2019-05-02T17:01:50.830Z
GCF_002623365.1,Caudovirales,Podoviridae,Kochitakasuvirus,Pseudomonas virus R18,2019-05-02T17:01:46.707Z
GCF_002623345.1,Caudovirales,Siphoviridae,Titanvirus,Rhodobacter virus RcSpartan,2019-05-02T17:01:42.280Z
GCF_002623325.1,Caudovirales,Siphoviridae,Tinduovirus,Tsukamurella virus TIN4,2019-05-02T17:01:38.447Z
GCF_002623305.1,Caudovirales,Siphoviridae,Tankvirus,Arthrobacter virus Tank,2019-05-02T17:01:33.790Z
GCF_002623285.1,Caudovirales,Siphoviridae,Saphexavirus,Enterococcus virus SAP6,2019-05-02T17:01:28.443Z
GCF_002623265.1,Caudovirales,Siphoviridae,Saphexavirus,Enterococcus virus IMEEF1,2019-05-02T17:01:23.360Z
GCF_002623245.1,Caudovirales,Siphoviridae,Xiamenvirus,Roseobacter virus RDJL2,2019-05-02T17:01:19.190Z
GCF_002623225.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL308M00,2019-05-02T17:01:14.797Z
GCF_002623205.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL194M00,2019-05-02T17:01:10.477Z
GCF_002623185.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL163M00,2019-05-02T17:01:06.217Z
GCF_002623165.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL151N00,2019-05-02T17:01:02.033Z
GCF_002623145.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL151M00,2019-05-02T17:00:56.907Z
